2,1,0.5,0.1,0.25,0.75,1.5
-3.6062815152804726 + 5.7700867066144195i,-2.909882255447187 + 4.118974273664042i,-2.363688014653257 + 3.03823552037638i,-1.5978117934733982 + 1.7726047361708264i,-1.9598476800365043 + 2.3391818404228153i,-2.664916444492517 + 3.612963437163412i,-3.2993703008236084 + 5.001590903640113i
-6.083625165379151 + 7.781311181141273i,-4.537661312990268 + 5.517209671369168i,-3.4273186642494275 + 3.992576312996588i,-1.9842337822160783 + 2.1398688144388065i,-2.6502852493269575 + 2.977655521166345i,-4.030261144437016 + 4.809330568449254i,-5.38152588763495 + 6.734098880328938i
-7.845426156337478 + 9.316865113137363i,-5.7391539105288185 + 6.600753638227056i,-4.241536573122763 + 4.746850011645981i,-2.298518493505898 + 2.4425833401587242i,-3.1956279533424112 + 3.4929330236799085i,-5.05367623327545 + 5.74352601598253i,-6.885249410209019 + 8.064390163567799i
-9.288236522703496 + 10.616323559889471i,-6.734776397803929 + 7.519643069939004i,-4.925023647748495 + 5.390073384836934i,-2.5711593882844266 + 2.706943676508378i,-3.660068268400639 + 3.936533718471673i,-5.9061406586059935 + 6.537194382228869i,-8.12264263091236 + 9.190786383402372i
-10.539720849148518 + 11.765452905060442i,-7.603432810957344 + 8.332587865063763i,-5.525312925987383 + 5.960527350118861i,-2.8155095640653096 + 2.9448686888391684i,-4.0712718421296 + 4.33196342659673i,-6.651842082646462 + 7.2398574378089275i,-9.198495447647444 + 10.18687945991021i
-11.660113465240055 + 12.807544608161834i,-8.383830737018213 + 9.069853017393603i,-6.066802296024302 + 6.478576984414612i,-3.0389586580898684 + 3.1630869058455517i,-4.444106275343887 + 4.69220893343835i,-7.322842094334606 + 7.877341250837714i,-10.163019704246189 + 11.090108023193967i
-12.683477364843771 + 13.7682413663983i,-9.098320100474112 + 9.749502280312132i,-6.56392772082779 + 6.956554871343069i,-3.2461336650003343 + 3.3658643632886913i,-4.787620448693051 + 5.025312076084017i,-7.937831957144063 + 8.465137124577861i,-11.044847425734748 + 11.922705280489069i
-13.631288182263013 + 14.664268507768023i,-9.761177283382402 + 10.383356255169058i,-7.026053190019894 + 7.402595942954331i,-3.4401663433507266 + 3.556113712025059i,-5.1077951773168815 + 5.336653315083269i,-8.508823027140942 + 9.013408608465598i,-11.862124954394426 + 12.699186655871662i
-14.518113820934925 + 15.507271277435608i,-10.38217432722396 + 10.979657729099802i,-7.459656539015062 + 7.8224008821518005i,-3.623295035485919 + 3.735930195146865i,-5.553149879119022 + 5.770907127587553i,-9.044071035991296 + 9.529253777570709i,-12.62720639761322 + 13.429662164962823i
-15.3543726276148 + 16.305752191926217i,-10.968346147990419 + 11.54442931667644i,-7.869437576986358 + 8.220148624848036i,-3.7971858673702643 + 3.906881311400526i,-5.830977157612958 + 6.0424141205066055i,-9.549537342326456 + 10.017863895802186i,-13.348950387051012 + 14.121513981531335i
